rowindex,Session,Subject,SubjectID,Timing,eventType,eventIndex,eventClicked,task,columnIndex,round,stateIndex,clueSeen,question,answer,error,tasktype,maxtask,mintask,tasktypeindex,taskchosen,cluesviewed,miliseconds,seconds,cluemath,cluews,clueboth,clueindex,maxtaskchosen,correct,wrong
41,2,6,135264567,2199,task,1,Task 3,3,2,19,1,unknown,,,,T,3,1,,0,3,13100,13.10000038,0,1,0,10,0,,
42,2,6,135264567,4519,trial,0,ESFO,,2,19,1,FOES,ESFO,FOES,,E,3,1,0,0,3,13100,13.10000038,0,0,0,,0,1,0
43,2,6,135264567,1231,task,1,Task 5,5,1,20,1,Not verbal,,,,T,5,5,,1,1,6787,6.787000179,1,0,0,20,1,,
44,2,6,135264567,5556,trial,0,89+89+89,,1,20,1,267,89+89+89,267,,8,5,5,1,1,1,6787,6.787000179,0,0,0,,1,1,0
45,2,6,135264567,801,task,1,Task 2,2,1,21,2,50 percent of previous players chose this task,,,,T,2,2,,0,1,5588,5.587999821,0,0,1,11,0,,
46,2,6,135264567,4787,trial,0,AMFO,,1,21,2,FOAM,AMFO,FOAM,,A,2,2,0,0,1,5588,5.587999821,0,0,0,,0,1,0
47,2,6,135264567,833,task,1,Task 4,4,1,22,1,Analytical skills,,,,T,4,4,,1,1,6273,6.272999763,1,0,0,22,1,,
48,2,6,135264567,5440,trial,0,88+88+88,,1,22,1,264,88+88+88,264,,8,4,4,1,1,1,6273,6.272999763,0,0,0,,1,1,0
49,2,6,135264567,685,task,1,Task 2,2,1,23,2,vocabulary skills,,,,T,2,2,,0,1,7529,7.528999805,0,1,0,8,0,,
50,2,6,135264567,6844,trial,0,OWFL,,1,23,2,FLOW,OWFL,FLOW,,O,2,2,0,0,1,7529,7.528999805,0,0,0,,0,1,0
51,2,6,135264567,1153,task,1,Task 2,2,1,24,1,50 percent of previous players thought this task was easier than average,,,,T,2,2,,1,1,9141,9.140999794,1,0,0,24,1,,
52,2,6,135264567,7988,trial,0,96+84+81,,1,24,1,261,96+84+81,261,,9,2,2,1,1,1,9141,9.140999794,0,0,0,,1,1,0
53,2,6,135264567,2921,task,1,Task 4,4,1,25,2,vocabulary skills,,,,T,4,4,,0,1,7019,7.019000053,0,1,0,8,0,,
54,2,6,135264567,4098,trial,0,OPFL,,1,25,2,FLOP,OPFL,FLOP,,O,4,4,0,0,1,7019,7.019000053,0,0,0,,0,1,0
55,2,6,135264567,909,task,1,Task 5,5,1,26,2,50 percent of previous players chose this task,,,,T,5,5,,0,1,6450,6.449999809,0,0,1,11,0,,
56,2,6,135264567,5541,trial,0,IPFL,,1,26,2,FLIP,IPFL,FLIP,,I,5,5,0,0,1,6450,6.449999809,0,0,0,,0,1,0
57,2,6,135264567,917,task,1,Task 3,3,1,27,2,unknown,,,,T,3,3,,0,1,6196,6.196000099,0,1,0,10,0,,
58,2,6,135264567,5279,trial,0,EDFL,,1,27,2,FLED,EDFL,FLED,,E,3,3,0,0,1,6196,6.196000099,0,0,0,,0,1,0
59,2,6,135264567,1011,task,1,Task 1,1,1,28,1,1 problem to solve,,,,T,1,1,,1,1,8323,8.322999954,1,0,0,21,1,,
60,2,6,135264567,7312,trial,0,87+87+87,,1,28,1,261,87+87+87,261,,8,1,1,1,1,1,8323,8.322999954,0,0,0,,1,1,0
61,2,6,135264567,1072,task,1,Task 4,4,1,29,1,50 percent of previous players thought this task was easier than average,,,,T,4,4,,1,1,14293,14.29300022,1,0,0,24,1,,
62,2,6,135264567,13221,trial,0,91+75+94,,1,29,1,260,91+75+94,260,,9,4,4,1,1,1,14293,14.29300022,0,0,0,,1,1,0
63,2,6,135264567,809,task,1,Task 1,1,1,30,2,words,,,,T,1,1,,0,1,4883,4.882999897,0,1,0,7,0,,
64,2,6,135264567,4074,trial,0,EAFL,,1,30,2,FLEA,EAFL,FLEA,,E,1,1,0,0,1,4883,4.882999897,0,0,0,,0,1,0
65,2,6,135264567,2850,task,1,Task 2,2,1,31,1,No words,,,,T,2,2,,1,1,9988,9.987999916,1,0,0,16,1,,
66,2,6,135264567,7138,trial,0,86+86+86,,1,31,1,258,86+86+86,258,,8,2,2,1,1,1,9988,9.987999916,0,0,0,,1,1,0
67,2,6,135264567,2211,task,1,Task 2,2,1,32,1,No words,,,,T,2,2,,1,1,6816,6.815999985,1,0,0,16,1,,
68,2,6,135264567,4605,trial,0,85+85+85,,1,32,1,255,85+85+85,255,,8,2,2,1,1,1,6816,6.815999985,0,0,0,,1,1,0
69,2,6,135264567,3101,task,1,Task 3,3,2,33,2,Might need paper & pencil to solve,,,,T,3,2,,0,2,12680,12.68000031,1,0,0,17,0,,
70,2,6,135264567,4694,task,1,Task 2,2,1,33,2,verbal,,,,T,3,2,,0,2,12680,12.68000031,0,1,0,4,0,,
71,2,6,135264567,4885,trial,0,AXFL,,1,33,2,FLAX,AXFL,FLAX,,A,3,2,0,0,2,12680,12.68000031,0,0,0,,0,1,0
72,2,6,135264567,5120,task,1,Task 2,2,1,34,2,1 problem,,,,T,2,2,,0,1,9015,9.015000343,0,1,0,1,0,,
73,2,6,135264567,3895,trial,0,AWFL,,1,34,2,FLAW,AWFL,FLAW,,A,2,2,0,0,1,9015,9.015000343,0,0,0,,0,1,0
74,2,6,135264567,1354,task,1,Task 4,4,1,35,2,won't need paper & pencil to solve,,,,T,4,4,,0,1,7108,7.107999802,0,1,0,6,0,,
75,2,6,135264567,5754,trial,0,ATFL,,1,35,2,FLAT,ATFL,FLAT,,A,4,4,0,0,1,7108,7.107999802,0,0,0,,0,1,0
76,2,6,135264567,2351,task,1,Task 3,3,1,36,1,50 percent of previous players chose this task,,,,T,3,3,,1,1,9238,9.237999916,0,0,1,11,1,,
77,2,6,135264567,6887,trial,0,70+95+85,,1,36,1,250,70+95+85,250,,7,3,3,1,1,1,9238,9.237999916,0,0,0,,1,1,0
78,2,6,135264567,2094,task,1,Task 3,3,1,37,1,Totalling up,,,,T,3,3,,1,1,7842,7.842000008,1,0,0,14,1,,
79,2,6,135264567,5748,trial,0,83+83+83,,1,37,1,249,83+83+83,249,,8,3,3,1,1,1,7842,7.842000008,0,0,0,,1,1,0
80,2,6,135264567,984,task,1,Task 5,5,1,38,2,multiple choice,,,,T,5,5,,0,1,6155,6.15500021,0,1,0,5,0,,
81,2,6,135264567,5171,trial,0,APFL,,1,38,2,FLAP,APFL,FLAP,,A,5,5,0,0,1,6155,6.15500021,0,0,0,,0,1,0
82,2,6,135264567,769,task,1,Task 5,5,1,39,1,Analytical skills,,,,T,5,5,,1,1,8885,8.885000229,1,0,0,22,1,,
83,2,6,135264567,8116,trial,0,95+93+60,,1,39,1,248,95+93+60,248,,9,5,5,1,1,1,8885,8.885000229,0,0,0,,1,1,0
84,2,6,135264567,5392,task,1,Task 3,3,1,40,1,50 percent of previous players chose this task,,,,T,3,3,,1,1,9414,9.413999557,0,0,1,11,1,,
85,2,6,135264567,4022,trial,0,82+82+82,,1,40,1,246,82+82+82,246,,8,3,3,1,1,1,9414,9.413999557,0,0,0,,1,1,0
